Product Line,Product Category,Date,Net Total Revenue,Net Product Revenue,Net Shipping Revenue,Cost of Goods Sold,Shipping Cost,Paid Order Count
baby book refill pack,books,2018-01-01,$20,$15,$5,$5,$4,2
postcard pack,cards,2018-01-01,$19,$15,$4,$6,$2,1
hardcover photo books,books,2018-01-02,"$5,155","$4,494",$660,"$1,138",$538,65
everyday print set,prints,2018-01-02,"$4,516","$1,780","$2,736","$1,698","$1,263",196
layflat photo albums,books,2018-01-02,"$3,345","$3,066",$279,"$1,136",$211,23
softcover photo books,books,2018-01-02,"$3,166","$2,476",$690,$908,$347,115
holiday cards,cards,2018-01-02,"$1,835","$1,586",$249,$363,$171,23
save the dates,cards,2018-01-02,"$1,406","$1,325",$81,$287,$65,12
gallery frames,frames,2018-01-02,"$1,314","$1,139",$176,$453,$137,9
wood calendars,calendars,2018-01-02,$905,$704,$202,$184,$123,33
brass easel calendars,calendars,2018-01-02,$828,$681,$147,$270,$94,16
baby book,books,2018-01-02,$809,$719,$89,$290,$75,12
thank you cards,cards,2018-01-02,$802,$693,$109,$165,$79,19
wedding guest books,books,2018-01-02,$745,$662,$83,$280,$46,8
float frames,frames,2018-01-02,$624,$549,$75,$266,$94,3
large format prints,prints,2018-01-02,$621,$486,$135,$136,$160,20
calendar refills,calendars,2018-01-02,$434,$308,$127,$84,$67,31
design your own cards,cards,2018-01-02,$352,$295,$57,$82,$37,8
volumes subscription series,books,2018-01-02,$285,$284,$0,$117,$21,14
modern metal frames,frames,2018-01-02,$245,$199,$46,$83,$43,5
brass & wood display box,photo holders,2018-01-02,$237,$198,$39,$102,$36,7
wood block and prints,photo holders,2018-01-02,$218,$163,$55,$42,$29,12
wedding invitations,cards,2018-01-02,$200,$173,$26,$29,$13,1
wooden photo ledge,photo holders,2018-01-02,$170,$153,$17,$48,$13,3
birth announcements,cards,2018-01-02,$154,$135,$19,$28,$13,4
walnut print block,photo holders,2018-01-02,$143,$106,$37,$34,$20,11
metal tabletop frames,frames,2018-01-02,$137,$119,$18,$50,$13,2
geo rail,photo holders,2018-01-02,$121,$92,$29,$37,$24,4
solidwool calendars,calendars,2018-01-02,$101,$78,$23,$36,$18,4
signature prints,prints,2018-01-02,$90,$72,$18,$31,$10,5
brass easel + prints,photo holders,2018-01-02,$76,$60,$16,$22,$10,2
cork and brass,photo holders,2018-01-02,$75,$62,$12,$33,$9,4
deep set frames,frames,2018-01-02,$47,$40,$7,$16,$7,1
postcard pack,cards,2018-01-02,$37,$30,$6,$12,$2,1
wood cleat,photo holders,2018-01-02,$31,$25,$6,$12,$3,1
baby book refill pack,books,2018-01-02,$26,$23,$3,$7,$3,3
wall calendars,calendars,2018-01-02,$14,$10,$4,$3,$5,1
wood block refill packs,photo holders,2018-01-02,$9,$8,$1,$2,$1,1
hardcover photo books,books,2018-01-03,"$4,854","$4,164",$690,"$1,315",$629,71
everyday print set,prints,2018-01-03,"$4,207","$1,725","$2,482","$1,590","$1,130",195
layflat photo albums,books,2018-01-03,"$3,038","$2,711",$327,"$2,014",$389,27
softcover photo books,books,2018-01-03,"$2,142","$1,687",$455,$662,$290,79
large format prints,prints,2018-01-03,"$1,454","$1,198",$256,$339,$211,28
wood calendars,calendars,2018-01-03,"$1,144",$865,$279,$234,$201,49
wedding guest books,books,2018-01-03,"$1,141","$1,008",$133,$388,$99,10
baby book,books,2018-01-03,"$1,028",$898,$130,$362,$130,15
holiday cards,cards,2018-01-03,$962,$824,$137,$200,$174,18
brass easel calendars,calendars,2018-01-03,$959,$776,$183,$345,$141,27
wood block and prints,photo holders,2018-01-03,$652,$523,$129,$140,$90,19
modern metal frames,frames,2018-01-03,$489,$420,$69,$202,$57,6
calendar refills,calendars,2018-01-03,$474,$316,$157,$108,$90,40
design your own cards,cards,2018-01-03,$447,$383,$64,$136,$46,12
volumes subscription series,books,2018-01-03,$433,$417,$16,$196,$72,16
gallery frames,frames,2018-01-03,$399,$329,$70,$202,$88,8
thank you cards,cards,2018-01-03,$349,$294,$54,$76,$39,11
signature prints,prints,2018-01-03,$329,$270,$59,$110,$53,13
float frames,frames,2018-01-03,$205,$169,$36,$68,$26,2
save the dates,cards,2018-01-03,$197,$185,$12,$62,$24,2
metal tabletop frames,frames,2018-01-03,$188,$163,$25,$78,$24,3
brass & wood display box,photo holders,2018-01-03,$119,$95,$24,$52,$24,4
birth announcements,cards,2018-01-03,$119,$108,$10,$20,$9,2
walnut print block,photo holders,2018-01-03,$118,$92,$27,$36,$36,9
wooden photo ledge,photo holders,2018-01-03,$116,$94,$22,$40,$37,4
wooden hanger,photo holders,2018-01-03,$109,$95,$14,$44,$11,2
deep set frames,frames,2018-01-03,$82,$69,$13,$30,$11,2
geo rail,photo holders,2018-01-03,$68,$52,$16,$37,$21,3
cork and brass,photo holders,2018-01-03,$60,$44,$16,$33,$15,3
wooden tabletop frames,frames,2018-01-03,$42,$35,$8,$78,$21,2
brass easel + prints,photo holders,2018-01-03,$34,$28,$6,$11,$4,1
baby book refill pack,books,2018-01-03,$7,$3,$4,$2,$3,1
accessory products only,cards,2018-01-03,$0,$0,$0,$1,$11,0
solidwool calendars,calendars,2018-01-03,$0,$0,$0,$18,$10,0
accessory products only,calendars,2018-01-03,$0,$0,$0,$16,$31,0
everyday print set,prints,2018-01-04,"$9,438","$2,349","$7,089","$4,058","$2,957",334
hardcover photo books,books,2018-01-04,"$6,058","$5,295",$762,"$1,717",$775,94
layflat photo albums,books,2018-01-04,"$4,477","$4,116",$361,"$2,099",$357,34
softcover photo books,books,2018-01-04,"$3,281","$2,597",$684,$959,$428,117
holiday cards,cards,2018-01-04,"$1,224","$1,080",$143,$273,$111,23
wedding guest books,books,2018-01-04,"$1,211","$1,092",$119,$501,$76,13
brass easel calendars,calendars,2018-01-04,$984,$799,$184,$367,$160,27
large format prints,prints,2018-01-04,$978,$791,$187,$254,$203,37
deep set frames,frames,2018-01-04,$923,$823,$100,$316,$80,1
volumes subscription series,books,2018-01-04,$796,$796,$0,$319,$58,25
baby book,books,2018-01-04,$737,$652,$84,$290,$80,11
wood calendars,calendars,2018-01-04,$668,$518,$150,$154,$104,32
gallery frames,frames,2018-01-04,$529,$477,$52,$268,$96,6
calendar refills,calendars,2018-01-04,$496,$339,$157,$112,$100,35
modern metal frames,frames,2018-01-04,$437,$378,$59,$206,$56,7
save the dates,cards,2018-01-04,$401,$358,$43,$69,$26,5
walnut print block,photo holders,2018-01-04,$366,$294,$71,$102,$42,25
thank you cards,cards,2018-01-04,$311,$244,$67,$67,$45,12
design your own cards,cards,2018-01-04,$298,$223,$75,$78,$72,10
signature prints,prints,2018-01-04,$274,$233,$41,$104,$42,12
wood block and prints,photo holders,2018-01-04,$267,$201,$66,$63,$51,16
metal tabletop frames,frames,2018-01-04,$217,$178,$39,$81,$49,4
wooden tabletop frames,frames,2018-01-04,$206,$173,$34,$74,$25,4
brass easel + prints,photo holders,2018-01-04,$202,$160,$42,$65,$21,5
wooden photo ledge,photo holders,2018-01-04,$187,$166,$20,$58,$16,4
float frames,frames,2018-01-04,$175,$158,$17,$77,$23,2
wooden hanger,photo holders,2018-01-04,$164,$144,$20,$63,$35,2
birth announcements,cards,2018-01-04,$152,$125,$27,$22,$15,3
brass & wood display box,photo holders,2018-01-04,$120,$95,$25,$87,$27,5
solidwool calendars,calendars,2018-01-04,$119,$85,$34,$36,$23,3
postcard pack,cards,2018-01-04,$82,$60,$22,$23,$15,3
cork and brass,photo holders,2018-01-04,$78,$56,$22,$33,$11,4
wooden box,photo holders,2018-01-04,$54,$43,$11,$31,$15,1
baby book refill pack,books,2018-01-04,$53,$34,$19,$15,$15,5
geo rail,photo holders,2018-01-04,$23,$19,$4,$9,$3,1
brass easel prints refill pack,photo holders,2018-01-04,$12,$8,$4,$2,$1,1
wood cleat,photo holders,2018-01-04,$0,$0,$0,$12,$4,0
accessory products only,calendars,2018-01-04,$0,$0,$0,$2,$5,0
accessory products only,photo holders,2018-01-04,$0,$0,$0,$1,$9,0
dust jacket refill,books,2018-01-04,$0,$0,$0,$12,$5,0
hardcover photo books,books,2018-01-05,"$5,806","$5,107",$698,"$1,564",$549,77
softcover photo books,books,2018-01-05,"$3,178","$2,621",$557,"$1,183",$318,90
layflat photo albums,books,2018-01-05,"$3,138","$2,857",$281,"$1,294",$191,22
everyday print set,prints,2018-01-05,"$1,829","$1,282",$546,$531,$308,115
baby book,books,2018-01-05,$989,$867,$122,$386,$114,15
float frames,frames,2018-01-05,$721,$593,$128,$261,$157,6
calendar refills,calendars,2018-01-05,$688,$517,$171,$142,$73,35
gallery frames,frames,2018-01-05,$665,$544,$121,$373,$109,11
large format prints,prints,2018-01-05,$559,$433,$127,$129,$174,19
save the dates,cards,2018-01-05,$548,$519,$28,$111,$22,4
wood calendars,calendars,2018-01-05,$513,$389,$124,$119,$97,22
brass easel calendars,calendars,2018-01-05,$449,$347,$103,$140,$54,12
wedding guest books,books,2018-01-05,$348,$318,$29,$191,$29,3
modern metal frames,frames,2018-01-05,$319,$283,$36,$151,$79,4
holiday cards,cards,2018-01-05,$306,$256,$50,$75,$61,9
design your own cards,cards,2018-01-05,$288,$265,$23,$84,$28,5
wood block and prints,photo holders,2018-01-05,$265,$197,$68,$48,$44,16
birth announcements,cards,2018-01-05,$264,$231,$34,$49,$28,3
volumes subscription series,books,2018-01-05,$233,$233,$0,$93,$15,9
thank you cards,cards,2018-01-05,$212,$182,$29,$43,$24,7
solidwool calendars,calendars,2018-01-05,$169,$135,$33,$64,$25,4
metal tabletop frames,frames,2018-01-05,$165,$134,$31,$78,$25,5
signature prints,prints,2018-01-05,$130,$100,$30,$49,$28,6
walnut print block,photo holders,2018-01-05,$111,$93,$18,$41,$17,7
wooden tabletop frames,frames,2018-01-05,$76,$62,$14,$31,$13,2
brass & wood display box,photo holders,2018-01-05,$60,$50,$10,$38,$14,2
geo rail,photo holders,2018-01-05,$55,$44,$10,$27,$9,3
wooden hanger,photo holders,2018-01-05,$48,$45,$3,$19,$4,1
wood cleat,photo holders,2018-01-05,$32,$30,$2,$12,$3,1
brass easel + prints,photo holders,2018-01-05,$31,$25,$6,$11,$4,1
wood block refill packs,photo holders,2018-01-05,$26,$16,$9,$9,$5,4
baby book refill pack,books,2018-01-05,$19,$15,$4,$7,$12,1
postcard pack,cards,2018-01-05,$19,$15,$4,$6,$2,1
accessory products only,photo holders,2018-01-05,$0,$0,$0,$1,$5,0
accessory products only,calendars,2018-01-05,$0,$0,$0,$2,$5,0
hardcover photo books,books,2018-01-06,"$4,347","$3,855",$492,"$1,086",$376,62
layflat photo albums,books,2018-01-06,"$3,478","$3,186",$293,"$1,155",$287,26
softcover photo books,books,2018-01-06,"$1,976","$1,575",$401,$578,$196,70
everyday print set,prints,2018-01-06,"$1,398",$957,$441,$436,$238,100
brass easel calendars,calendars,2018-01-06,$889,$752,$136,$291,$77,21
gallery frames,frames,2018-01-06,$873,$767,$106,$318,$82,7
wedding guest books,books,2018-01-06,$871,$767,$104,$318,$80,9
large format prints,prints,2018-01-06,$613,$486,$127,$139,$99,25
baby book,books,2018-01-06,$466,$420,$46,$193,$42,7
design your own cards,cards,2018-01-06,$459,$400,$59,$108,$63,9
save the dates,cards,2018-01-06,$413,$389,$24,$80,$22,4
wooden tabletop frames,frames,2018-01-06,$402,$345,$56,$150,$38,5
wood calendars,calendars,2018-01-06,$321,$236,$85,$65,$55,17
thank you cards,cards,2018-01-06,$304,$249,$55,$59,$38,9
signature prints,prints,2018-01-06,$284,$232,$51,$104,$40,13
calendar refills,calendars,2018-01-06,$270,$189,$81,$58,$47,16
holiday cards,cards,2018-01-06,$270,$240,$29,$47,$31,6
float frames,frames,2018-01-06,$267,$232,$35,$98,$26,3
volumes subscription series,books,2018-01-06,$264,$256,$8,$103,$22,13
modern metal frames,frames,2018-01-06,$252,$223,$28,$93,$19,3
wood cleat,photo holders,2018-01-06,$223,$207,$16,$86,$8,1
wood block and prints,photo holders,2018-01-06,$175,$118,$57,$30,$35,9
wooden box,photo holders,2018-01-06,$119,$95,$23,$33,$34,2
deep set frames,frames,2018-01-06,$101,$89,$11,$38,$8,1
wooden photo ledge,photo holders,2018-01-06,$79,$69,$10,$25,$8,2
geo rail,photo holders,2018-01-06,$74,$63,$11,$27,$6,2
metal tabletop frames,frames,2018-01-06,$69,$59,$10,$26,$7,2
walnut print block,photo holders,2018-01-06,$58,$50,$8,$16,$5,3
cork and brass,photo holders,2018-01-06,$42,$38,$4,$25,$5,1
brass easel + prints,photo holders,2018-01-06,$39,$33,$6,$11,$4,1
baby book refill pack,books,2018-01-06,$28,$23,$5,$7,$5,2
birth announcements,cards,2018-01-06,$23,$19,$4,$3,$3,1
wood block refill packs,photo holders,2018-01-06,$14,$10,$4,$4,$2,1
hardcover photo books,books,2018-01-07,"$6,280","$5,555",$724,"$1,593",$551,82
layflat photo albums,books,2018-01-07,"$4,754","$4,387",$367,"$1,671",$268,33
softcover photo books,books,2018-01-07,"$2,967","$2,325",$641,$809,$332,106
everyday print set,prints,2018-01-07,"$2,471","$1,637",$834,$710,$455,165
wedding guest books,books,2018-01-07,"$1,830","$1,635",$195,$649,$144,17
large format prints,prints,2018-01-07,"$1,240","$1,020",$219,$294,$226,35
gallery frames,frames,2018-01-07,"$1,124",$986,$138,$431,$141,12
holiday cards,cards,2018-01-07,$970,$869,$101,$193,$69,12
wood calendars,calendars,2018-01-07,$860,$668,$192,$177,$110,39
save the dates,cards,2018-01-07,$796,$746,$50,$159,$35,8
brass easel calendars,calendars,2018-01-07,$789,$647,$142,$259,$91,21
design your own cards,cards,2018-01-07,$627,$550,$77,$151,$64,18
modern metal frames,frames,2018-01-07,$533,$473,$59,$188,$38,3
wedding invitations,cards,2018-01-07,$476,$449,$27,$61,$12,2
baby book,books,2018-01-07,$471,$420,$50,$169,$33,6
thank you cards,cards,2018-01-07,$456,$382,$73,$102,$57,11
calendar refills,calendars,2018-01-07,$413,$284,$130,$80,$52,34
volumes subscription series,books,2018-01-07,$391,$391,$0,$157,$27,17
float frames,frames,2018-01-07,$364,$314,$49,$146,$37,1
signature prints,prints,2018-01-07,$237,$162,$75,$67,$45,9
wooden photo ledge,photo holders,2018-01-07,$191,$168,$23,$69,$21,4
metal tabletop frames,frames,2018-01-07,$186,$163,$23,$65,$38,3
wood block and prints,photo holders,2018-01-07,$158,$121,$37,$30,$23,8
geo rail,photo holders,2018-01-07,$119,$101,$18,$46,$10,3
walnut print block,photo holders,2018-01-07,$102,$77,$24,$29,$11,8
birth announcements,cards,2018-01-07,$96,$76,$20,$14,$14,3
brass easel + prints,photo holders,2018-01-07,$95,$83,$13,$32,$7,2
postcard pack,cards,2018-01-07,$74,$60,$13,$23,$7,2
brass & wood display box,photo holders,2018-01-07,$58,$47,$11,$37,$15,3
wooden box,photo holders,2018-01-07,$54,$48,$6,$16,$7,1
deep set frames,frames,2018-01-07,$42,$35,$7,$16,$5,1
cork and brass,photo holders,2018-01-07,$38,$31,$6,$17,$5,2
wood block refill packs,photo holders,2018-01-07,$37,$25,$12,$7,$4,3
solidwool calendars,calendars,2018-01-07,$20,$15,$5,$9,$3,1
wall calendars,calendars,2018-01-07,$12,$10,$2,$3,$2,1
wooden hanger,photo holders,2018-01-07,$0,$0,$0,$47,$9,0
hardcover photo books,books,2018-01-08,"$7,549","$6,652",$896,"$1,933",$733,96
layflat photo albums,books,2018-01-08,"$6,777","$6,232",$545,"$2,384",$441,36
softcover photo books,books,2018-01-08,"$2,770","$2,258",$512,$872,$280,80
everyday print set,prints,2018-01-08,"$2,725","$1,994",$731,$828,$458,174
wedding guest books,books,2018-01-08,"$1,831","$1,635",$196,$686,$133,18
baby book,books,2018-01-08,"$1,567","$1,374",$193,$652,$206,23
large format prints,prints,2018-01-08,"$1,451","$1,237",$214,$379,$197,36
gallery frames,frames,2018-01-08,"$1,158","$1,003",$154,$508,$152,12
holiday cards,cards,2018-01-08,"$1,073",$938,$135,$257,$96,17
design your own cards,cards,2018-01-08,$976,$829,$146,$228,$110,14
modern metal frames,frames,2018-01-08,$943,$832,$111,$376,$166,7
brass easel calendars,calendars,2018-01-08,$717,$579,$138,$226,$89,17
calendar refills,calendars,2018-01-08,$577,$422,$155,$140,$94,29
wood calendars,calendars,2018-01-08,$422,$323,$99,$88,$50,22
thank you cards,cards,2018-01-08,$416,$348,$67,$98,$54,10
save the dates,cards,2018-01-08,$401,$355,$45,$80,$30,4
float frames,frames,2018-01-08,$366,$308,$58,$154,$40,5
wood block and prints,photo holders,2018-01-08,$269,$213,$56,$51,$33,13
wooden photo ledge,photo holders,2018-01-08,$235,$213,$21,$83,$27,3
deep set frames,frames,2018-01-08,$165,$148,$16,$63,$22,1
signature prints,prints,2018-01-08,$164,$144,$20,$61,$12,5
wedding invitations,cards,2018-01-08,$149,$137,$12,$27,$5,1
wooden tabletop frames,frames,2018-01-08,$147,$128,$19,$60,$12,3
birth announcements,cards,2018-01-08,$134,$114,$20,$49,$37,4
wooden box,photo holders,2018-01-08,$129,$109,$20,$52,$29,3
brass & wood display box,photo holders,2018-01-08,$79,$68,$11,$39,$14,3
metal tabletop frames,frames,2018-01-08,$70,$58,$13,$25,$9,2
cork and brass,photo holders,2018-01-08,$68,$55,$13,$33,$9,3
volumes subscription series,books,2018-01-08,$68,$68,$0,$59,$13,4
geo rail,photo holders,2018-01-08,$67,$57,$10,$27,$7,3
baby book refill pack,books,2018-01-08,$66,$56,$10,$20,$10,7
brass easel + prints,photo holders,2018-01-08,$65,$52,$13,$22,$8,2
wall calendars,calendars,2018-01-08,$65,$55,$10,$24,$8,2
walnut print block,photo holders,2018-01-08,$52,$40,$12,$13,$5,4
solidwool calendars,calendars,2018-01-08,$50,$36,$14,$18,$10,2
postcard pack,cards,2018-01-08,$18,$14,$4,$6,$2,1
stationery card set,cards,2018-01-08,$15,$13,$2,$5,$1,1
accessory products only,calendars,2018-01-08,$0,$0,$0,$10,$9,0
accessory products only,cards,2018-01-08,$0,$0,$0,$1,$15,0
hardcover photo books,books,2018-01-09,"$5,525","$4,749",$775,"$1,387",$563,86
layflat photo albums,books,2018-01-09,"$4,753","$4,266",$487,"$1,738",$424,32
softcover photo books,books,2018-01-09,"$2,515","$2,017",$498,$783,$323,80
everyday print set,prints,2018-01-09,"$1,914","$1,312",$602,$524,$371,116
holiday cards,cards,2018-01-09,"$1,012",$899,$112,$229,$72,8
brass easel calendars,calendars,2018-01-09,$926,$756,$170,$345,$123,26
wedding guest books,books,2018-01-09,$871,$800,$70,$302,$48,7
large format prints,prints,2018-01-09,$835,$694,$141,$221,$126,27
baby book,books,2018-01-09,$754,$670,$84,$338,$82,14
gallery frames,frames,2018-01-09,$532,$441,$92,$189,$63,8
wood block and prints,photo holders,2018-01-09,$377,$283,$95,$69,$46,23
calendar refills,calendars,2018-01-09,$339,$234,$105,$86,$74,21
wood calendars,calendars,2018-01-09,$318,$241,$77,$69,$48,15
volumes subscription series,books,2018-01-09,$282,$282,$0,$132,$46,7
thank you cards,cards,2018-01-09,$279,$232,$47,$57,$52,5
modern metal frames,frames,2018-01-09,$231,$209,$23,$82,$20,2
design your own cards,cards,2018-01-09,$224,$194,$30,$100,$32,6
brass easel + prints,photo holders,2018-01-09,$199,$150,$49,$65,$30,5
float frames,frames,2018-01-09,$186,$157,$29,$82,$21,3
wooden hanger,photo holders,2018-01-09,$179,$164,$15,$74,$9,2
birth announcements,cards,2018-01-09,$173,$152,$21,$30,$18,4
signature prints,prints,2018-01-09,$166,$127,$39,$61,$33,8
metal tabletop frames,frames,2018-01-09,$147,$128,$18,$55,$15,2
save the dates,cards,2018-01-09,$128,$116,$12,$48,$10,1
brass & wood display box,photo holders,2018-01-09,$122,$93,$30,$63,$24,5
walnut print block,photo holders,2018-01-09,$89,$71,$18,$20,$10,4
wood cleat refill,photo holders,2018-01-09,$85,$75,$10,$36,$9,1
wooden photo ledge,photo holders,2018-01-09,$62,$52,$10,$19,$6,2
gathering invitations,cards,2018-01-09,$60,$45,$14,$8,$10,1
baby book refill pack,books,2018-01-09,$39,$34,$5,$15,$8,5
deep set frames,frames,2018-01-09,$39,$30,$9,$16,$5,1
solidwool calendars,calendars,2018-01-09,$28,$20,$8,$9,$5,1
cork and brass,photo holders,2018-01-09,$27,$19,$8,$8,$5,1
wall calendars,calendars,2018-01-09,$25,$20,$5,$7,$4,1
geo rail,photo holders,2018-01-09,$25,$22,$3,$9,$2,1
stationery card set,cards,2018-01-09,$16,$15,$1,$5,$1,1
accessory products only,cards,2018-01-09,$0,$0,$0,$6,$12,0
accessory products only,calendars,2018-01-09,$0,$0,$0,$8,$8,0
wooden tabletop frames,frames,2018-01-09,$0,$0,$0,$15,$5,0
layflat photo albums,books,2018-01-10,"$5,121","$4,691",$430,"$1,947",$361,25
hardcover photo books,books,2018-01-10,"$4,239","$3,627",$612,"$1,169",$578,66
softcover photo books,books,2018-01-10,"$2,104","$1,647",$457,$620,$272,65
everyday print set,prints,2018-01-10,"$2,027","$1,487",$539,$598,$323,112
baby book,books,2018-01-10,"$1,310","$1,124",$186,$459,$179,15
gallery frames,frames,2018-01-10,"$1,099",$940,$159,$425,$187,12
large format prints,prints,2018-01-10,$680,$588,$92,$197,$106,17
modern metal frames,frames,2018-01-10,$606,$526,$80,$219,$65,7
wedding guest books,books,2018-01-10,$555,$510,$45,$189,$29,5
wood calendars,calendars,2018-01-10,$482,$389,$94,$123,$67,20
holiday cards,cards,2018-01-10,$397,$337,$60,$96,$69,9
wood block and prints,photo holders,2018-01-10,$350,$261,$89,$66,$55,16
save the dates,cards,2018-01-10,$342,$308,$34,$95,$22,5
brass easel calendars,calendars,2018-01-10,$307,$247,$59,$129,$51,11
calendar refills,calendars,2018-01-10,$239,$168,$70,$48,$38,17
signature prints,prints,2018-01-10,$226,$179,$48,$86,$50,13
thank you cards,cards,2018-01-10,$180,$152,$28,$47,$31,4
volumes subscription series,books,2018-01-10,$171,$171,$0,$73,$20,8
metal tabletop frames,frames,2018-01-10,$166,$140,$26,$62,$20,4
design your own cards,cards,2018-01-10,$162,$145,$17,$34,$14,3
float frames,frames,2018-01-10,$138,$121,$17,$63,$19,3
geo rail,photo holders,2018-01-10,$84,$63,$20,$27,$16,3
deep set frames,frames,2018-01-10,$47,$40,$7,$16,$7,1
walnut print block,photo holders,2018-01-10,$44,$36,$7,$12,$5,3
brass & wood display box,photo holders,2018-01-10,$42,$30,$12,$39,$14,2
wooden box,photo holders,2018-01-10,$40,$33,$7,$10,$7,1
wooden tabletop frames,frames,2018-01-10,$38,$31,$7,$15,$5,1
postcard pack,cards,2018-01-10,$38,$30,$8,$12,$5,1
solidwool calendars,calendars,2018-01-10,$33,$25,$8,$9,$6,1
wooden photo ledge,photo holders,2018-01-10,$30,$25,$5,$5,$3,1
wood block refill packs,photo holders,2018-01-10,$29,$23,$6,$5,$2,2
baby book refill pack,books,2018-01-10,$25,$22,$3,$7,$2,2
birth announcements,cards,2018-01-10,$13,$9,$4,$2,$2,1
cork and brass,photo holders,2018-01-10,$9,$5,$4,$16,$3,2
accessory products only,calendars,2018-01-10,$0,$0,$0,$8,$5,0
layflat photo albums,books,2018-01-11,"$5,822","$5,412",$409,"$2,147",$449,33
hardcover photo books,books,2018-01-11,"$5,808","$5,068",$740,"$1,498",$673,78
softcover photo books,books,2018-01-11,"$4,152","$3,752",$400,"$1,786",$269,66
everyday print set,prints,2018-01-11,"$2,126","$1,562",$564,$618,$341,117
brass easel calendars,calendars,2018-01-11,"$1,291","$1,117",$174,$442,$104,19
baby book,books,2018-01-11,$696,$628,$68,$314,$72,9
wood calendars,calendars,2018-01-11,$624,$488,$136,$150,$110,27
large format prints,prints,2018-01-11,$605,$508,$97,$150,$79,19
wedding guest books,books,2018-01-11,$538,$494,$44,$196,$30,5
thank you cards,cards,2018-01-11,$421,$341,$79,$93,$77,9
holiday cards,cards,2018-01-11,$363,$326,$37,$73,$18,4
gallery frames,frames,2018-01-11,$335,$272,$64,$123,$37,4
design your own cards,cards,2018-01-11,$280,$247,$32,$107,$22,7
signature prints,prints,2018-01-11,$196,$160,$36,$122,$33,6
calendar refills,calendars,2018-01-11,$162,$114,$48,$44,$35,12
volumes subscription series,books,2018-01-11,$110,$110,$0,$78,$23,6
wood block and prints,photo holders,2018-01-11,$108,$73,$35,$18,$20,6
modern metal frames,frames,2018-01-11,$100,$84,$16,$34,$10,2
gathering invitations,cards,2018-01-11,$83,$74,$9,$16,$5,1
float frames,frames,2018-01-11,$82,$64,$18,$38,$11,2
brass easel + prints,photo holders,2018-01-11,$77,$61,$16,$32,$10,3
brass & wood display box,photo holders,2018-01-11,$76,$63,$13,$38,$11,3
metal tabletop frames,frames,2018-01-11,$73,$59,$14,$27,$10,2
solidwool calendars,calendars,2018-01-11,$65,$22,$43,$381,$18,2
walnut print block,photo holders,2018-01-11,$56,$42,$13,$14,$20,3
postcard pack,cards,2018-01-11,$54,$44,$9,$17,$4,3
wooden hanger,photo holders,2018-01-11,$49,$45,$5,$22,$6,1
wooden tabletop frames,frames,2018-01-11,$42,$35,$7,$15,$5,1
wood block refill packs,photo holders,2018-01-11,$40,$28,$12,$9,$6,2
wooden photo ledge,photo holders,2018-01-11,$39,$35,$4,$12,$7,1
geo rail,photo holders,2018-01-11,$33,$24,$9,$18,$5,2
cork and brass,photo holders,2018-01-11,$32,$27,$4,$17,$3,2
save the dates,cards,2018-01-11,$21,$14,$7,$27,$12,2
stationery card set,cards,2018-01-11,$17,$13,$4,$5,$5,1
